"siteID","floss_2017","floss_2018","floss_2021","fcover_2017","fcover_2018","fcover_2021","ndvi_2017","ndvi_2018","ndvi_2021","dist_set_2017","dist_set_2018","dist_set_2021"
"ST019",0,0,0,38.1495844875346,38.1495844875346,38.1495844875346,0.545817657885758,0.545817657885758,0.545817657885758,1819.190797,1831.878712,1819.190797
"ST027",0.596491228070175,0.596491228070175,0.596491228070175,59.3621052631579,59.3621052631579,59.3621052631579,0.556938279315172,0.556938279315172,0.556938279315172,2354.879533,2473.083487,2354.879533
"ST048",0.0692520775623269,0.0692520775623269,0.0692520775623269,73.0025969529086,73.0025969529086,73.0025969529086,0.586958089131472,0.586958089131472,0.586958089131472,3138.449648,3335.899757,3138.449648
"ST072",0.0175438596491228,0.0175438596491228,0.0175438596491228,80.1685964912281,80.1685964912281,80.1685964912281,0.625282742609225,0.625282742609225,0.625282742609225,4983.140089,5278.365663,4983.140089
"ST083",0.368421052631579,0.368421052631579,0.666666666666667,75.4259649122807,75.4259649122807,75.159649122807,0.655816317771353,0.655816317771353,0.655816317771353,2649.593046,2761.889412,2649.593046
"ST089",0.12280701754386,0.12280701754386,0.12280701754386,71.3685964912281,71.3685964912281,71.3685964912281,0.645527256888314,0.645527256888314,0.645527256888314,3385.539512,3481.113224,3385.539512
"ST112",0,0,0,79.7619555555556,79.7619555555556,79.7619555555556,0.685607015856049,0.685607015856049,0.685607015856049,3504.394,3583.025619,3503.869205
"ST117",0.385964912280702,0.385964912280702,0.385964912280702,58.4221052631579,58.4221052631579,58.4221052631579,0.607767358113941,0.607767358113941,0.607767358113941,3654.869757,4209.142278,3654.869757
"ST141",0,0,0,73.4323555555556,73.4323555555556,73.4323555555556,0.697129234044847,0.697129234044847,0.697129234044847,7330.477228,7641.944089,7330.477228
"ST145",0.142222222222222,0.142222222222222,0.142222222222222,63.8432,63.8432,63.8432,0.646708345434662,0.646708345434662,0.646708345434662,3577.893234,5731.667339,3577.893234
"ST169",1.02146814404432,1.02146814404432,1.02146814404432,62.2988227146814,62.2988227146814,62.2988227146814,0.552216794,0.552216794,0.552216794,5556.841266,5556.841266,5556.841266
"ST173",0.0350877192982456,0.0350877192982456,0.0350877192982456,52.4382456140351,52.4382456140351,52.4382456140351,0.569831905219511,0.569831905219511,0.569831905219511,2836.220224,3736.284701,2836.220224
"ST181",0.0711111111111111,0.0711111111111111,0.0711111111111111,70.8563555555556,70.8563555555556,70.8563555555556,0.60150071897187,0.60150071897187,0.60150071897187,4263.858569,4331.781407,4263.858569
"ST188",0,0,0,52.5166666666667,52.5166666666667,52.5166666666667,0.61178139,0.61178139,0.61178139,1455.185715,2419.569143,1455.185715
"ST196",0.0177777777777778,0.0177777777777778,0.0177777777777778,69.6280888888889,69.6280888888889,69.6280888888889,0.638817398138721,0.638817398138721,0.638817398138721,1396.718323,1699.813229,1396.718323
"ST211",0.280701754385965,0.280701754385965,0.280701754385965,58.6842105263158,58.6842105263158,58.6842105263158,0.604736029463969,0.604736029463969,0.604736029463969,2563.744594,2874.03992,2563.744594
"ST217",0.333333333333333,0.333333333333333,0.333333333333333,72.1470175438596,72.1470175438596,72.1470175438596,0.654755846511212,0.654755846511212,0.654755846511212,2691.613968,2997.860425,2691.613968
"ST235",0.106666666666667,0.106666666666667,0.106666666666667,46.6060444444444,46.6060444444444,46.6060444444444,0.583417782866379,0.583417782866379,0.583417782866379,3162.74142,3447.643734,3144.594387
"ST241",1.78324099722992,1.78324099722992,1.8005540166205,54.079120498615,54.079120498615,54.069771468144,0.537457474426047,0.537457474426047,0.537457474426047,1447.418664,5113.900919,1447.418664
"ST253",0.298245614035088,0.298245614035088,0.298245614035088,68.6422807017544,68.6422807017544,68.6422807017544,0.658091272753435,0.658091272753435,0.658091272753435,4090.673932,5383.227933,4090.427626
