id,siteID,ndvi_2017,ndvi_2018,ndvi_2021
438,ST235,0.5834177828663795,0.5834177828663795,0.5834177828663795
279,ST145,0.6467083454346618,0.6467083454346618,0.6467083454346618
367,ST196,0.6388173981387207,0.6388173981387207,0.6388173981387207
342,ST181,0.6015007189718703,0.6015007189718703,0.6015007189718703
275,ST141,0.6971292340448466,0.6971292340448466,0.6971292340448466
228,ST112,0.6856070158560487,0.6856070158560487,0.6856070158560487
349,ST188,0.61178139,0.61178139,0.61178139
481,ST253,0.6580912727534355,0.6580912727534355,0.6580912727534355
392,ST211,0.6047360294639689,0.6047360294639689,0.6047360294639689
325,ST173,0.5698319052195114,0.5698319052195114,0.5698319052195114
233,ST117,0.6077673581139406,0.6077673581139406,0.6077673581139406
409,ST217,0.6547558465112123,0.6547558465112123,0.6547558465112123
187,ST089,0.6455272568883139,0.6455272568883139,0.6455272568883139
73,ST027,0.5569382793151716,0.5569382793151716,0.5569382793151716
161,ST072,0.6252827426092253,0.6252827426092253,0.6252827426092253
181,ST083,0.6558163177713531,0.6558163177713531,0.6558163177713531
456,ST241,0.5374574744260467,0.5374574744260467,0.5374574744260467
321,ST169,0.552216794,0.552216794,0.552216794
54,ST019,0.5458176578857581,0.5458176578857581,0.5458176578857581
114,ST048,0.5869580891314715,0.5869580891314715,0.5869580891314715
