"siteID","tri"
"ST019",-1.3632981988856
"ST027",-1.40220316454483
"ST048",0.454868667477032
"ST072",-1.34468412054615
"ST083",0.98014683237184
"ST089",-0.110662931099595
"ST112",-0.396065876628969
"ST117",0.469851789632825
"ST141",-0.3149075824893
"ST145",0.907418030191572
"ST169",-0.858488747666269
"ST173",0.0179321470684429
"ST181",-0.217999496122286
"ST188",-1.21542390345789
"ST196",0.492294365802549
"ST211",1.9298412701619
"ST217",0.651709241100312
"ST235",0.793846115885152
"ST241",-1.05335442437244
"ST253",1.5791799861217
