"siteID","floss_2017","floss_2018","floss_2021","fcover_2017","fcover_2018","fcover_2021","ndvi_2017","ndvi_2018","ndvi_2021","dist_set_2017","dist_set_2018","dist_set_2021"
"ST019",-0.648606588874866,-0.648606588874866,-0.667687432499216,-2.28020341858464,-2.28020341858464,-2.28169685028369,-1.44108657228248,-1.44108657228248,-1.44108657228248,-1.00199313692462,-1.36644177381078,-1.00129616836723
"ST027",0.720827638755782,0.720827638755782,0.667467662388137,-0.412110779071126,-0.412110779071126,-0.411385063457109,-1.20363346916245,-1.20363346916245,-1.20363346916245,-0.63783898635985,-0.941646963333879,-0.637161638752015
"ST048",-0.489616546967283,-0.489616546967283,-0.512677166064926,0.789146836395834,0.789146836395834,0.791299551695664,-0.562635388146974,-0.562635388146974,-0.562635388146974,-0.105178337628637,-0.370035696260829,-0.104529690250359
"ST072",-0.608329111591612,-0.608329111591612,-0.628418165002529,1.42022463869435,1.42022463869435,1.42312702485079,0.255691892576988,0.255691892576988,0.255691892576988,1.14881793941331,0.916837809004506,1.14939902035674
"ST083",0.197220434073476,0.197220434073476,0.824544732374887,1.0025621063499,1.0025621063499,0.981487230983501,0.907660149712267,0.907660149712267,0.907660149712267,-0.437496620030023,-0.750314548232974,-0.436830067047091
"ST089",-0.366664247892084,-0.366664247892084,-0.392802560022407,0.645247661577591,0.645247661577591,0.647229435961326,0.687962945704718,0.687962945704718,0.687962945704718,0.0627900990608438,-0.273832533717382,0.0634296961503443
"ST112",-0.648606588874866,-0.648606588874866,-0.667687432499216,1.38441357470578,1.38441357470578,1.38727342013124,1.54376612177718,1.54376612177718,1.54376612177718,0.143585815322554,-0.20631610494582,0.14386432955669
"ST117",0.237497911356731,0.237497911356731,0.196236452427896,-0.494892410717689,-0.494892410717689,-0.494265033179393,-0.118305408486179,-0.118305408486179,-0.118305408486179,0.245877253966741,0.208482907579216,0.246506986157478
"ST141",-0.648606588874866,-0.648606588874866,-0.667687432499216,0.826993770801435,0.826993770801435,0.829191445286382,1.78979432093155,1.78979432093155,1.78979432093155,2.7445068245753,2.48269615670625,2.74500192838223
"ST145",-0.322090506365284,-0.322090506365284,-0.349344570659408,-0.0174806366470689,-0.0174806366470689,-0.0162861314228956,0.713182142506801,0.713182142506801,0.713182142506801,0.193549627002237,1.21714779896876,0.194182178652061
"ST169",1.69649652926198,1.69649652926198,1.61871399740656,-0.153487095749796,-0.153487095749796,-0.152454155515437,-1.30444899881062,-1.30444899881062,-1.30444899881062,1.53881244694845,1.10132643979929,1.53937251464092
"ST173",-0.568051634308357,-0.568051634308357,-0.589148897505843,-1.0218643950777,-1.0218643950777,-1.02186301886205,-0.928322282563067,-0.928322282563067,-0.928322282563067,-0.31062992131174,-0.104782764536659,-0.309970204019383
"ST181",-0.485348547620075,-0.485348547620075,-0.508516001579312,0.60013687386362,0.60013687386362,0.6020650601751,-0.25211383995407,-0.25211383995407,-0.25211383995407,0.659859831224642,0.289730689242426,0.660467257665878
"ST188",-0.648606588874866,-0.648606588874866,-0.667687432499216,-1.01495820072421,-1.01495820072421,-1.01494862049216,-0.0325957803491625,-0.0325957803491625,-0.0325957803491625,-1.24943899965967,-0.977099936398959,-1.2487286984991
"ST196",-0.607792078561168,-0.607792078561168,-0.62789457476924,0.491968875178776,0.491968875178776,0.493768566404646,0.544690666210169,0.544690666210169,0.544690666210169,-1.28918436303706,-1.45393446570711,-1.28847192036096
"ST211",-0.00416695234279564,-0.00416695234279564,-0.0393791525522257,-0.471809962475813,-0.471809962475813,-0.471155164802182,-0.183031862765847,-0.183031862765847,-0.183031862765847,-0.495855267532666,-0.676015423135616,-0.495185570133896
"ST217",0.116665479506966,0.116665479506966,0.078428649937834,0.713799751838091,0.713799751838091,0.715862960720142,0.885016433883222,0.885016433883222,0.885016433883222,-0.408931350446198,-0.593984986050007,-0.4082663365854
"ST235",-0.403719526992679,-0.403719526992679,-0.428930286119359,-1.5354804896625,-1.5354804896625,-1.53608924902157,-0.638229788511858,-0.638229788511858,-0.638229788511858,-0.0886651108163175,-0.296005895825155,-0.100352802638197
"ST241",3.44538699024541,3.44538699024541,3.36257949479234,-0.877359820318779,-0.877359820318779,-0.878011089724102,-1.6195974152027,-1.6195974152027,-1.6195974152027,-1.25471893867877,0.807880776116513,-1.25400835303039
"ST253",0.0361105249404591,0.0361105249404591,-0.000109885055538416,0.405153119623953,0.405153119623953,0.406849680551788,0.956236132932508,0.956236132932508,0.956236132932508,0.542131194911478,0.986308514538207,0.542577538121674
